i,n,m,k,num_threads,multiplier,iterations,time_us,stddev_us
76,10,100,1000,4,DefaultMultiplierIJKTranspose,4,2537.750000,60.942596
77,10,100,1000,4,DefaultMultiplierIJKTransposeCached,4,1854.000000,20.211384
78,10,100,1000,16,DefaultMultiplierIJK,4,1474.000000,227.075974
79,10,100,1000,16,DefaultMultiplierIJKCached,4,1186.250000,79.188065
80,10,100,1000,16,DefaultMultiplierJIK,4,1373.750000,32.500000
81,10,100,1000,16,Collapse2Multiplier,4,861.750000,17.340343
82,10,100,1000,16,Collapse3Multiplier,4,1191.000000,34.154064
83,10,100,1000,16,DefaultMultiplierIJKTranspose,4,1575.250000,169.446899
84,10,100,1000,16,DefaultMultiplierIJKTransposeCached,4,1145.000000,83.510475
85,10,1000,10,4,DefaultMultiplierIJK,4,211.000000,46.200649
86,10,1000,10,4,DefaultMultiplierIJKCached,4,140.500000,3.278719
87,10,1000,10,4,DefaultMultiplierJIK,4,187.250000,5.068284
88,10,1000,10,4,Collapse2Multiplier,4,135.250000,5.309190
89,10,1000,10,4,Collapse3Multiplier,4,173.750000,4.763140
90,10,1000,10,4,DefaultMultiplierIJKTranspose,4,215.250000,1.089725
91,10,1000,10,4,DefaultMultiplierIJKTransposeCached,4,168.250000,2.046338
92,10,1000,10,16,DefaultMultiplierIJK,4,267.750000,109.896255
93,10,1000,10,16,DefaultMultiplierIJKCached,4,162.250000,39.707523
94,10,1000,10,16,DefaultMultiplierJIK,4,161.250000,11.255554
95,10,1000,10,16,Collapse2Multiplier,4,126.750000,14.341809
96,10,1000,10,16,Collapse3Multiplier,4,174.500000,8.645808
97,10,1000,10,16,DefaultMultiplierIJKTranspose,4,220.250000,39.155937
98,10,1000,10,16,DefaultMultiplierIJKTransposeCached,4,172.500000,7.632169
99,10,1000,100,4,DefaultMultiplierIJK,4,1816.500000,40.684765
100,10,1000,100,4,DefaultMultiplierIJKCached,4,1218.000000,24.505102
101,10,1000,100,4,DefaultMultiplierJIK,4,1482.750000,32.958305
102,10,1000,100,4,Collapse2Multiplier,4,1046.000000,42.941822
103,10,1000,100,4,Collapse3Multiplier,4,1469.750000,37.639740
104,10,1000,100,4,DefaultMultiplierIJKTranspose,4,1972.500000,62.419949
105,10,1000,100,4,DefaultMultiplierIJKTransposeCached,4,1435.500000,10.920165
106,10,1000,100,16,DefaultMultiplierIJK,4,1485.750000,186.222321
107,10,1000,100,16,DefaultMultiplierIJKCached,4,1046.750000,19.032866
108,10,1000,100,16,DefaultMultiplierJIK,4,1197.250000,10.874282
109,10,1000,100,16,Collapse2Multiplier,4,888.250000,49.256344
110,10,1000,100,16,Collapse3Multiplier,4,1192.500000,37.884693
111,10,1000,100,16,DefaultMultiplierIJKTranspose,4,1688.750000,101.598473
112,10,1000,100,16,DefaultMultiplierIJKTransposeCached,4,1281.250000,93.854942
113,10,1000,1000,4,DefaultMultiplierIJK,4,25741.250000,764.575684
