i,n,m,k,num_threads,multiplier,iterations,time_us,stddev_us
362,1000,1000,100,16,Collapse3Multiplier,4,137289.000000,2800.320068
363,1000,1000,100,16,DefaultMultiplierIJKTranspose,4,129147.250000,10124.548828
364,1000,1000,100,16,DefaultMultiplierIJKTransposeCached,4,85218.000000,1667.995239
365,1000,1000,1000,4,DefaultMultiplierIJK,4,1919924.000000,213523.640625
366,1000,1000,1000,4,DefaultMultiplierIJKCached,4,1215753.250000,25796.367188
367,1000,1000,1000,4,DefaultMultiplierJIK,4,1829067.000000,114975.640625
368,1000,1000,1000,4,Collapse2Multiplier,4,1281229.250000,88000.718750
369,1000,1000,1000,4,Collapse3Multiplier,4,1867202.250000,133852.500000
370,1000,1000,1000,4,DefaultMultiplierIJKTranspose,4,1700521.500000,118638.257812
371,1000,1000,1000,4,DefaultMultiplierIJKTransposeCached,4,1231083.250000,119257.539062
372,1000,1000,1000,16,DefaultMultiplierIJK,4,1664157.750000,180965.015625
373,1000,1000,1000,16,DefaultMultiplierIJKCached,4,1110845.000000,30518.808594
374,1000,1000,1000,16,DefaultMultiplierJIK,4,1634358.500000,48171.554688
375,1000,1000,1000,16,Collapse2Multiplier,4,1090177.250000,61333.242188
376,1000,1000,1000,16,Collapse3Multiplier,4,1586563.500000,77800.414062
377,1000,1000,1000,16,DefaultMultiplierIJKTranspose,4,1301917.750000,37486.304688
378,1000,1000,1000,16,DefaultMultiplierIJKTransposeCached,4,909142.250000,65443.433594
